Name,Image,Species,Personality,Gender,Birthday,Default Catchphrase,Default Clothing,Default Umbrella,Liked Look,Disliked Look,Favorite Color,Favorite Series,Furniture Taste #1,Furniture Taste #2,Furniture,House Song,Wallpaper,Carpet,Starting Villager,Name (Japanese),Name (Spanish),Name (French),Name (German),Name (Italian),Name (Korean),Catchphrase (Japanese),Catchphrase (Spanish NA),Catchphrase (Spanish EU),Catchphrase (French NA),Catchphrase (French EU),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),New to Series,Notes,Villager ID,Hex ID
Elise,,Monkey,Snooty,Female,March 21,puh-lease,cool shirt,sunny parasol,stylish,refined,colorful,Classic,dignified,retro,regal bed; exotic screen; classic vanity; classic buffet; classic sofa; retro TV; owl clock; racoon figurine; lucky gold cat; super toilet;,Neapolitan,cityscape wall,ceramic tile,No,モンこ,Mayra,Elise,Steffi,Elisa,몽자,だモン,ricura,ricura,quand même,steup,strebstreb,per favore,몽몽,No,,mnk05,007C
Dora,,Mouse,Normal,Female,February 18,squeaky,sharp outfit,paper parasol,fresh,striking,purple,Exotic,dignified,trendy,hearth; sewing machine; retro stereo; exotic table; exotic bench; maple bonsai; quince bonsai; blue vase; tall lantern; tall lantern;,Soulful K.K.,cabin wall,tatami,Yes,とめ,Dori,Dora,Dora,Serena,티미,だべ,cuiqui,cuiqui,tatouille,tatouille,quieek,squiksquik,찍찍,No,,mus00,007D
Limberg,,Mouse,Cranky,Male,October 17,squinky,subdued print,busted umbrella,funky,cute,green,Exotic,playful,retro,outdoor bath; screen; exotic screen; samurai suit; wee dingloid; reel-to-reel; tall percoloid; Japanese drum; tall oombloid;,K.K. Folk,stone wall,tatami,Yes,らっきょ,Camember,Gruyère,Rafael,Rosico,단무지,てやんで,caramba,caramba,Scriiich,scriiich,pfiffikus,squick,긍가벼,No,,mus01,007E
Bella,,Mouse,Peppy,Female,December 28,eeks,skull shirt,flame umbrella,striking,fresh,black,Modern,playful,retro,lovely bed; green dresser; retro stereo; lovely loveseat; green counter; refrigerator; kitschy clock; iris chair; stove; tulip table;,K.K. Metal,concrete wall,steel flooring,Yes,イザベラ,Prity,Belle,Susi,Bella,이자벨,ギャハッ,petisú,petisú,hiiiii,hiiiii,visavisa,eeks,캬학,No,,mus02,007F
Bree,,Mouse,Snooty,Female,July 7,cheeseball,floral knit,lacy parasol,fresh,gaudy,white,Regal,playful,trendy,regal bed; vibraphone; gold stereo; regal sofa; regal bookcase; weeping fig; radiator; doghouse; regal lamp; regal vanity;,Two Days Ago,blue-trim wall,kitchen tile,Yes,サラ,Brie,Quenotte,Jenny,Ginella,사라,なんてね,orejas,orejas,boulette,boulette,kicher,formaggino,글치머,No,,mus03,0080
Samson,,Mouse,Jock,Male,July 5,pipsqueak,airy shirt,eggy parasol,funky,striking,colorful,Kiddie,dignified,trendy,blue table; green counter; ball return; water bird; kitschy clock; watermelon chair; gas pump; melon chair;,Go K.K. Rider!,citrus wall,kiddie carpet,Yes,ピース,Sansón,Samson,Samson,Sansone,피스,チュー,flojeras,flojeras,scouic,scouic,pieeeps,pisquak,쪽,No,,mus04,0081
Rod,,Mouse,Jock,Male,August 14,ace,zipper shirt,gelato umbrella,cool,subtle,purple,Ranch,playful,trendy,ranch couch; green counter; billiard table; turntable; odd clock; round cactus; ranch armchair; ranch armchair;,K.K. March,sea view,plank flooring,Yes,ジャン,Rodi,Marcel,Manni,Riccardo,쟝,すっげぇ,quesito,quesito,tip-top,tip-top,boa-ey,flapflap,무진장,No,,mus05,0082
Rizzo,,Mouse,Cranky,Male,January 17,squee,casual outfit,paper parasol,refined,fresh,green,Exotic,dignified,trendy,exotic bed; exotic screen; exotic screen; exotic screen; tea vase; tall strumboid; tall lamentoid; tall oombloid; phonograph;,K.K. Lament,gold screen wall,plank flooring,Yes,ちょろきち,Ratolón,Sourizzi,Ricky,Rizzo,조르쥐,がってん,ñiiiik,ñiiiik,nouik,nouik,fieps,squiii,힐끔힐끔,No,,mus09,0083
Broccolo,,Mouse,Lazy,Male,June 30,eat it,kiddie shirt,gelato umbrella,funky,stylish,colorful,Classic,playful,trendy,pine table; pineapple bed; dice stereo; classic vanity; ranch couch; rocking horse; weeping fig; tall oombloid;,K.K. Ragtime,playroom wall,playroom rug,Yes,ブロッコリー,Brócoli,Steven,Fritzi,Franco,브로콜리,ピコ,dientes,dientes,chaud,flim-flam,knabba,squikko,앗차,No,,mus12,0084
Octavian,,Octopus,Cranky,Male,September 20,sucker,big star shirt,beach umbrella,funky,stylish,red,Robo,dignified,retro,flying saucer; lunar rover; rocket; satellite; space shuttle; asteroid; asteroid; robo-stereo; robo-chair; Spaceman Sam;,K.K. D & B,lunar horizon,lunar surface,No,おくたろう,Octavio,Octave,Ottfried,Ottavio,문복,タコ,chupatinta,chupatinta,chenapan,chenapan,schling,perdindi,쭉쭉,No,,ocp00,0085
Marina,,Octopus,Normal,Female,June 26,blurp,bubble gum shirt,ribbon umbrella,cute,refined,pink,Lovely,playful,trendy,lovely bed; lovely dresser; lovely loveseat; claw-foot tub; lovely vanity; sunflower; turntable; lovely end table; lovely lamp;,Soulful K.K.,lovely wall,lovely carpet,No,タコリーナ,Marina,Marina,Marianne,Marina,문리나,きゃ,dospatas,dospatas,beurp,beurp,blubblub,blurp,캬캬,No,,ocp01,0086
Queenie,,Ostrich,Snooty,Female,November 13,chicken,laced shirt,lacy parasol,striking,gaudy,black,Classic,dignified,trendy,modern bed; regal table; vibraphone; classic sofa; retro stereo; white pawn; black pawn; deluxe range; white pawn; black pawn;,K.K. Gumbo,plaza wall,modern tile,Yes,タキュ,Marujita,Reine,Isabella,Regina,택주,やっぱし,gallina,gallina,poupoule,poupoule,hühnchen,polpetta,역시,No,,ost00,0087
Gladys,,Ostrich,Normal,Female,January 15,stretch,misty shirt,paper parasol,subtle,gaudy,green,Exotic,dignified,retro,exotic bed; exotic bench; exotic table; exotic screen; exotic chest; azalea bonsai; exotic wardrobe; phonograph; biwa lute; mega oboid;,K.K. Folk,shoji screen,tatami,Yes,ちとせ,Gladis,Gladys,Sandra,Marta,빅토리아,ですの,plumillas,plumillas,codêt,codêt,ajajajjj,stretch,그렇지라,No,,ost01,0088
Apollo,,Eagle,Cranky,Male,July 4,pah,zipper shirt,paper parasol,strange,funky,white,Modern,playful,trendy,modern bed; billiard table; modern sofa; wide-screen TV; modern desk; mahjong table; black knight; white knight; shark tooth; Peking Man;,Soulful K.K.,ornate wall,tartan rug,Yes,アポロ,Apolo,Apollon,Apollo,Apollo,아폴로,だワイ,rapaz,rapaz,trraaaa,trraaaa,ahhh,pah,다꿇어,No,,pbr00,0089
Amelia,,Eagle,Snooty,Female,November 19,cuz,spiderweb shirt,zebra umbrella,gaudy,subtle,red,Ranch,playful,retro,cabin table; ranch couch; cabin bookcase; folk guitar; birdcage; tall puffoid; cactus; tape deck;,K.K. Condor,desert vista,cabin rug,Yes,アンデス,Amelia,Aurélie,Adelheid,Amelia,안데스,カラカラ,chinchilla,chinchilla,croooa,croooa,adlerauge,mini mini,엄멈머,No,,pbr01,008A
Pierce,,Eagle,Jock,Male,January 8,hawkeye,circus shirt,modern umbrella,subtle,stylish,blue,Regal,dignified,trendy,regal bed; regal table; hi-fi stereo; regal sofa; radiator; regal armoire; regal chair; regal lamp; refrigerator;,K.K. Étude,regal wall,regal carpet,Yes,セバスチャン,Hugo,Napoléon,Adrian,Attilio,세바스찬,バサバサ,aguililla,aguililla,œil agile,œil agile,schwinge,pronti via,퍼덕퍼덕,No,,pbr02,008B
Avery,,Eagle,Cranky,Male,February 22,skree-haw,uncommon shirt,spider umbrella,strange,funky,brown,Ranch,dignified,retro,bonfire; cabin couch; fan palm; Ionian post; broken post; tiki torch; tiki torch;,K.K. Condor,western vista,ancient tile,Yes,クスケチャ,Cuzco,Faust,Quetzal,Falco,쿠스케처,アリョイ,gawk,grrraak,gawk,phélès,flapp,gawk,내놔,No,,prb05,008C
Aurora,,Penguin,Normal,Female,January 27,b-b-baby,pink tartan,lemon umbrella,funky,gaudy,pink,Cabana,playful,trendy,elephant slide; cabana dresser; gold stereo; cream sofa; daffodil chair; kitschy clock; nebuloid; iris table; harmonoid;,K.K. Gumbo,lunar horizon,kitchen tile,Yes,オーロラ,Aurora,Aurore,Sonja,Aurora,오로라,だジョー,pescadito,pescadito,b-b-bébé,b-b-bébé,b-bestens,b-b-baby,랄라,No,,pgn00,008D
Roald,,Penguin,Jock,Male,January 5,b-b-buddy,cafe shirt,Toad parasol,strange,subtle,orange,Kiddie,playful,trendy,train set; elephant slide; rocket; satellite; space shuttle; telescope; kiddie clock; super toilet; robo-stereo; bowling pins;,K.K. Parade,playroom wall,kiddie carpet,Yes,ペンタ,Bobi,Reynald,Roland,Angelino,펭수,だペン,titirito,titirito,pépépère,pépépère,k-k-kumpel,br-br-brr,팽팽,No,,pgn01,008E
Cube,,Penguin,Lazy,Male,January 29,d-d-dude,big dot shirt,petal parasol,cute,cool,colorful,Robo,playful,trendy,robo-bed; robo-dresser; robo-sofa; robo-clock; daffodil chair; apple clock; robo-stereo; tulip chair;,K.K. Technopop,mod wall,diner tile,Yes,ビス,Cube,Cube,Cube,Cubetto,빙수,ペンペン,waap,waap,cococopain,cococopain,d-d-dude,brivido,땡땡,No,,pgn02,008F
Hopper,,Penguin,Cranky,Male,April 6,slushie,dragon suit,flame umbrella,refined,cute,yellow,Cabin,dignified,retro,cabin table; cabin couch; cabin low table; cabin chair; bear pole; mini drilloid; tall gongoid; eagle pole;,Lucky K.K.,cabin wall,cowhide rug,Yes,ダルマン,Güiñón,Victor,Hauke,Pinguaio,달만이,ちぅねん,esploch,esploch,manette,manette,slaschi,sguish,아따,No,,pgn03,0090
Friga,,Penguin,Snooty,Female,October 16,brrrmph,picnic shirt,lacy parasol,cool,funky,pink,Regal,dignified,trendy,regal bed; cabana bookcase; regal dresser; retro stereo; regal table; bubble shirt; regal chair; regal chair; lacy parasol; spring shirt;,K.K. Tango,arched window,classic carpet,Yes,サブリナ,Frida,Friga,Frieda,Frida,사브리나,ツルルン,heladito,heladito,bourfff,bourfff,grrmpf,brrrumf,으쓱,No,,pgn04,0091
Gwen,,Penguin,Snooty,Female,January 23,h-h-h-hon,yellow bolero,lacy parasol,stylish,funky,purple,Ranch,dignified,trendy,ebony piano; ranch tea table; vibraphone; regal dresser; classic sofa; ranch bookcase; phonograph; pothos; classic clock; classic table;,Café K.K.,cityscape wall,round carpet,Yes,ポーラ,Fabiola,Gwen,Judith,Gelinda,폴라,ウフフ,crustáceo,crustáceo,h-h-h-hon,h-h-h-hon,ssswetie,a-a-amor,우훗훗,No,,pgn05,0092
Puck,,Penguin,Lazy,Male,February 21,brrrrrrrrr,BB shirt,blue umbrella,fresh,strange,blue,Blue,playful,retro,blue table; blue bench; blue bed; blue bureau; blue bookcase; blue clock; blue dresser; blue chair; tall percoloid;,K.K. Casbah,blue wall,blue flooring,Yes,ホッケー,Fredo,Hervé,Puck,Glacido,하키,さぶー,sardinilla,sardinilla,brrrrrrrrr,brrrrrrrrr,brrrrrrrrr,brrrrrrrrr,엣취,No,,pgn06,0093
Boomer,,Penguin,Lazy,Male,February 7,human,explorer shirt,camo umbrella,refined,strange,brown,Classic,dignified,retro,sleeping bag; ship cannon; frog-woman pole; coconut palm; bear pole; campfire; raven pole;,Aloha K.K.,tropical vista,tropical floor,Yes,ショーイ,Serafino,Ethan,Max,Icaro,팽기,ツーツツ,humanoide,humanoide,boudiou,boudiou,menschlein,glacius,에헴헴,No,,pgn10,0094
Curly,,Pig,Jock,Male,July 26,nyoink,green bar shirt,gelato umbrella,funky,cool,red,Cabin,dignified,retro,cabin table; classic bookcase; cabin couch; mini croakoid; pachira; tape deck; coconut palm; folk guitar;,K.K. Reggae,wood paneling,music-room floor,Yes,ハムカツ,Rufueto,Tirbou,Oink,Ricciolo,햄까스,どもども,ñoink,ñoink,coink,coink,oinkoink,niooink,꿀꿀,No,,pig00,0095
Truffles,,Pig,Peppy,Female,July 28,snoutie,turnip top,Toad parasol,cute,subtle,pink,Lovely,playful,trendy,blue table; lovely kitchen; lovely loveseat; lovely dresser; tootoid; mega tootoid; gold econo-chair; djimbe drum; tea set;,Two Days Ago,citrus wall,lovely carpet,Yes,トンコ,Trufas,Trufa,Luzie,Grufetta,탱고,だわさ,oink-oink,oink-oink,jambon,jambon,schnauzie,ficcanaso,거라예,No,,pig01,0096
Rasher,,Pig,Cranky,Male,April 7,swine,rugby shirt,busted umbrella,refined,cute,black,Modern,dignified,trendy,modern bed; wide-screen TV; glass-top table; white golf bag; office locker; quince bonsai; office locker; dharma;,K.K. Faire,shanty wall,cowhide rug,Yes,グレオ,Curtis,Salami,Ede,Broncio,글레이,まんねん,tocino,tocino,porcelet,porcelet,schweini,snoooink,꾸엑,No,,pig02,0097
Hugh,,Pig,Lazy,Male,December 30,snortle,jade check print,eggy parasol,stylish,gaudy,blue,Kiddie,dignified,trendy,kiddie table; kiddie stereo; kiddie bed; kiddie couch; toilet; alarm clock; refrigerator; blue lava lamp; stove;,K.K. Mambo,green wall,diner tile,Yes,クッチャネ,Jacobo,Bonno,Hugo,Jambon,먹고파,とかね,groink,groink,cuick,cuick,schniff,snort,아님말구,No,,pig03,0098
Lucy,,Pig,Normal,Female,June 2,snoooink,natty shirt,candy umbrella,cute,cool,orange,Ranch,playful,trendy,ranch table; exotic screen; cream sofa; sewing machine; glass-top table; holly bonsai; space heater; mugho bonsai; owl clock; ponderosa bonsai;,Comrade K.K.,chic wall,tartan rug,Yes,ルーシー,Aurelia,Lucie,Larissa,Lucy,루시,よぅ,jamoneti,jamoneti,groingroin,groingroin,schnoink,snoink,예예,No,,pig04,0099
Spork,,Pig,Lazy,Male,September 3,snork,jade check print,yellow umbrella,striking,subtle,green,Robo,dignified,retro,teacher's desk; chalk board; left platform; right platform; lefty desk; righty desk; righty desk; lefty desk; righty desk;,K.K. Mambo,classroom wall,backyard lawn,Yes,ポーク,Espork,Justin,Schwarte,Cicciolo,포크,だブー,pork,pork,diantre,diantre,grunz,snork,꼬르륵,No,"Named ""Crackle"" in English (EU)",pig05,009A
Peggy,,Pig,Peppy,Female,May 23,shweetie,blue stripe knit,sunny parasol,stylish,cool,blue,Cabana,playful,trendy,ivory piano; hammock; glass-top table; cabana screen; pachira; sunflower; cabana lamp; cabana chair; turntable;,K.K. Bossa,tropical vista,tropical floor,Yes,ちえり,Peggy,Rose,Quiekie,Sally,체리,ぷるる,trufita,trufita,fleur,fleur,glotz,oink,아앙,No,,pig11,009B
Bunnie,,Rabbit,Peppy,Female,May 9,tee-hee,jade check print,petal parasol,gaudy,strange,pink,Lovely,dignified,trendy,ebony piano; retro stereo; regal dresser; ranch couch; green bed; Mama bear; lovely chair; lovely lamp; regal vanity; lovely end table;,K.K. Aria,wood paneling,parquet floor,Yes,リリアン,Coni,Clara,Mimmi,Bonny,릴리안,みたいな,oy-oy-oy,oy-oy-oy,hé hé hé,hé hé hé,tiihii,tiptap,그렇지뭐,No,,rbt00,009C
Dotty,,Rabbit,Peppy,Female,March 14,wee one,blue check shirt,yellow umbrella,stylish,cool,black,Robo,dignified,trendy,lunar lander; lunar rover; satellite; tall sproid; Spaceman Sam; tape deck; Spaceman Sam; Spaceman Sam;,K.K. Technopop,desert vista,Saharah's desert,Yes,マーサ,Katia,Dorothée,Doro,Dotty,서머,ラン,trompis,trompis,lapinou,lapinou,uiui,caroté,룰루랄라,No,,rbt01,009D
Coco,,Rabbit,Normal,Female,March 1,doyoing,dawn shirt,leaf umbrella,refined,gaudy,beige,Exotic,playful,retro,outdoor bath; screen; exotic chest; tall lantern; spaceman; tall lantern; mega rustoid; quince bonsai;,K.K. Dirge,plaster wall,shanty mat,No,やよい,Cocoloca,Coco,Koko,Coco,이요,はにょ,toin-toin,toin-toin,touloulou,touloulou,hoppsa,evviva,삐용,No,,rbt02,009E
Snake,,Rabbit,Jock,Male,November 3,bunyip,zipper shirt,camo umbrella,striking,stylish,black,Exotic,playful,retro,screen; exotic chest; exotic chest; samurai suit; deer scare; ninja sword; oombloid; tiki torch; tiki torch;,K.K. Lullaby,lunar horizon,sandlot,No,モモチ,Rayo,Jeannot,Philip,Razzo,닌토,ニンニン,boin-boing,boin-boing,mon lapin,mon lapin,hopplahopp,bun bun,닌닌,No,,rbt03,009F
Gaston,,Rabbit,Cranky,Male,October 28,mon chou,swell shirt,leopard umbrella,refined,cute,green,Robo,dignified,retro,robo-table; amazing machine; medicine chest; hamster cage; reel-to-reel; haz-mat barrel; speed bag; sandbag;,K.K. Dirge,lab wall,lab floor,Yes,モサキチ,Gastón,Gaston,Gaston,Gaston,대길,ムホッ,mon chou,mon chou,mon petit,cahuète,herzblatt,cherie,쿨럭,No,,rbt04,00A0
Gabi,,Rabbit,Peppy,Female,December 16,honeybun,waffle shirt,candy umbrella,cute,strange,brown,Cabana,dignified,trendy,ebony piano; cabana screen; ranch tea table; regal sofa; vibraphone; pachira; slim nebuloid; metronome; turntable; pothos;,K.K. Love Song,green wall,birch flooring,Yes,ペチカ,Piluca,Gaby,Gabi,Gabri,패티카,だっち,mari,mari,mon lièvre,mon lièvre,liebling,mielito,꺄오,No,,rbt05,00A1
Pippy,,Rabbit,Peppy,Female,June 14,li'l hare,mint gingham top,forest umbrella,stylish,strange,pink,Ranch,dignified,trendy,backyard pool; mountain bike; blue bench; hammock; tape deck; Mr. Flamingo; sprinkler; Mrs. Flamingo; birdhouse;,K.K. Mambo,backyard fence,backyard lawn,Yes,ロッタ,Méloni,Nadia,Lotta,Pippi,로타,なのサ,pipita,pipita,ti-lièvre,ti’ lièvre,hihi,gnaf,울랄라,No,,rbt06,00A2
Tiffany,,Rabbit,Snooty,Female,January 9,bunbun,spiderweb shirt,elegant umbrella,striking,cute,red,Regal,dignified,trendy,modern bed; billiard table; wide-screen TV; retro stereo; red sofa; dart board; huge shades; classic table; red armchair; red armchair;,K.K. Rock,concrete wall,red tile,Yes,バズレー,Tiffany,Tiphaine,Michele,Stefania,바슬레,ってさ,pompón,pompón,pinpin,pinpin,öhrchen,bunbun,라던데,No,,rbt07,00A3
Genji,,Rabbit,Jock,Male,January 21,otaku,misty shirt,paper parasol,refined,striking,green,Exotic,dignified,retro,hearth; screen; mini-dharma; tea table; evening cicada; mop; paper parasol;,King K.K.,sea view,shanty mat,No,ゲンジ,Sumo,Kali,Aki,Genji,토시,まろ,otaku,otaku,otaku,otaku,goseimas,otaku,땡글,No,,rbt08,00A4
Ruby,,Rabbit,Peppy,Female,December 25,li'l ears,bunny shirt,leaf umbrella,cute,refined,yellow,Lovely,playful,retro,moon; lovely loveseat; claw-foot tub; lovely loveseat; mochi pestle; mochi pestle; tall quazoid; slim quazoid; mochi pestle;,K.K. Ska,lunar horizon,lunar surface,Yes,ルナ,Rubí,Rubis,Rubina,Rubina,루나,フツーに,orejitas,orejitas,z'oreilles,n'oreille,paffpaff,orecchine,보통이지,No,,rtb09,00A5
Francine,,Rabbit,Snooty,Female,January 22,karat,dark polka shirt,ribbon umbrella,gaudy,refined,blue,Blue,playful,trendy,regal bed; blue bureau; blue bench; blue bookcase; regal table; blue dresser; petal parasol; blue box; regal chair;,I Love You,blue wall,classic carpet,Yes,フランソワ,Natacha,Nadine,Manu,Francois,프랑소와,ルララ,kaninchen,kaninchen,carotte,carotte,hey man,lulalà,쇼봉,No,,rbt12,00A6
Chrissy,,Rabbit,Peppy,Female,August 28,sparkles,lite polka shirt,ribbon umbrella,gaudy,subtle,pink,Lovely,dignified,trendy,lovely bed; lovely kitchen; lovely loveseat; cream sofa; rainbow shirt; tulip table; lovely lamp; Mama bear; iris table;,K.K. Waltz,lovely wall,diner tile,Yes,クリスチーヌ,Lali,Kristine,Anne,Natascha,크리스틴,リララ,mimomimo,mimomimo,hop,hop,knuddl,lilalà,샤방,No,,rbt13,00A7
Tank,,Rhino,Jock,Male,May 6,kerPOW,No. 1 shirt,gelato umbrella,cool,subtle,green,Exotic,dignified,trendy,outdoor bath; exotic table; exotic bench; exotic lamp; maple bonsai; Japanese drum; tall lantern; tall gongoid;,K.K. Lament,bamboo wall,sandlot,Yes,くるぶし,Aníbal,Ben,Frank,Rinaldo,탱크,ですサイ,tapumba,tapumba,kaboum,kaboum,wuff,zamperù,아뿔소,No,,rhn00,00A8
Rhonda,,Rhino,Normal,Female,January 24,bigfoot,bodice,lacy parasol,stylish,gaudy,white,Regal,dignified,retro,regal bed; regal sofa; retro stereo; regal dresser; classic bookcase; scale; mega lullaboid; lady palm; cabana chair; cabana vanity;,K.K. Ballad,mosaic wall,palace tile,Yes,ユメコ,Ronda,Renée,Regina,Roby,론다,ンフ,jip-jip,jip-jip,grand pied,grand pied,stampf,piedone,훗,No,,rhn01,00A9
Vesta,,Sheep,Normal,Female,April 16,baaaffo,fall plaid shirt,elegant umbrella,fresh,funky,orange,Classic,dignified,trendy,classic bookcase; fireplace; ranch couch; sewing machine; turntable; natty shirt; comfy sweater; winter sweater; gumdrop shirt;,K.K. Steppe,ranch wall,backyard lawn,Yes,メリヤス,Vesta,Hélaine,Dolly,Lanella,메리어스,なのね,beeeibi,beeeibi,lââââine,pupull,bäääh,beeeby,쩝,No,,shp00,00AA
Baabara,,Sheep,Snooty,Female,March 28,daahling,purple tie-dye,ribbon umbrella,fresh,cool,brown,Classic,dignified,trendy,ivory piano; classic sofa; classic sofa; cabana dresser; antique clock; turntable; pachira; classic table; bass;,K.K. Swing,arched window,parquet floor,Yes,トロワ,Beelén,Bêêtty,Babsi,Bea,트로와,アンドゥ,abejita,peeelusa,chêêêri,chêêêri,däääää,breeezza,앤쥬,No,,shp01,00AB
Eunice,,Sheep,Normal,Female,April 3,lambchop,red grid shirt,melon umbrella,striking,gaudy,black,Modern,dignified,retro,ebony piano; classic bookcase; retro stereo; classic sofa; weeping fig; lacy parasol; retro TV; mega puffoid; mini puffoid;,K.K. Waltz,kitchen wall,kitchen flooring,Yes,モヘア,Lanolina,Bérénice,Edith,Tenerina,곱슬이,メェー,chuletita,chuletita,bêbêêêêh,bêbêêêêh,la-a-amm,laaagna,메에에,No,,shp02,00AC
Willow,,Sheep,Snooty,Female,November 26,bo peep,bad plaid shirt,lacy parasol,stylish,cool,white,Regal,dignified,retro,regal bed; regal dresser; upright piano; retro stereo; rubber tree; regal lamp; regal armoire; bass;,K.K. Étude,stately wall,palace tile,Yes,マリー,Cuqui,Maï,Natascha,Belinda,마리,ですのよ,babeeebí,babeeebí,tourni,tourni,blö-ö-ök,babeeebí,됐거든,No,,shp07,00AD
Peanut,,Squirrel,Peppy,Female,June 8,slacker,beatnik shirt,ribbon umbrella,funky,subtle,red,Green,dignified,trendy,watermelon table; dice stereo; cream sofa; blue bureau; green counter; red armchair; tall droploid; refrigerator; tall droploid; stove;,K.K. Salsa,citrus wall,red tile,Yes,ももこ,Belinda,Rachida,Paulina,Rachele,핑키,なのよ,almendrita,almendrita,flanc-mou,noisette,faulenzer,sgronch,거얌,No,,squ00,00AE
Blaire,,Squirrel,Snooty,Female,July 3,nutlet,peachy shirt,candy umbrella,stylish,cool,orange,Ranch,dignified,trendy,watermelon table; high-end stereo; cream sofa; red sofa; metronome; lemon table; lime chair; grapefruit table; orange chair;,K.K. Jazz,citrus wall,ceramic tile,Yes,シルエット,Azabache,Cachou,Klara,Ghianda,실루엣,ふふん,bayita,bayita,coquille,coquille,knack,scrick,헤헤헤,No,,squ01,00AF
Filbert,,Squirrel,Lazy,Male,June 3,bucko,vogue top,daisy umbrella,strange,gaudy,green,Kiddie,playful,retro,train set; robo-dresser; kiddie dresser; kiddie couch; satellite; tall cactus; TV with a VCR; mini croakoid; round cactus; mega croakoid;,Two Days Ago,lunar horizon,citrus carpet,Yes,リッキー,Filberto,Filibert,Felix,Scriccio,리키,でしゅ,guirlache,guirlache,gogo,gogo,manno,gnic gnic,예용,No,,squ02,00B0
Pecan,,Squirrel,Snooty,Female,September 10,chipmunk,red check shirt,elegant umbrella,stylish,refined,red,Regal,dignified,trendy,regal bed; regal sofa; hi-fi stereo; regal dresser; regal bookcase; regal vanity; mixer; aloe; Red Tulips; toaster;,Café K.K.,regal wall,stone tile,Yes,レベッカ,Camila,Pécan,Noisette,Nocina,레베카,つんっ,piñoncito,piñoncito,foufou,fouloulou,spatzl,cipì,쯧쯧,No,,squ03,00B1
Nibbles,,Squirrel,Peppy,Female,July 19,niblet,watermelon shirt,sunny parasol,cute,subtle,brown,Cabin,dignified,retro,watermelon table; mountain bike; lovely loveseat; elephant slide; kiddie bed; water bird; rock guitar; tall sproid; mega sproid; mini sproid;,K.K. Technopop,parlor wall,citrus carpet,Yes,ガリガリ,Dentina,Lola,Knuspi,Rododea,그리미,ガジガジ,bellotita,bellotita,nunuche,nunuche,knusper,truciolo,송송,No,,squ04,00B2
Agent S,,Squirrel,Peppy,Female,July 2,sidekick,No. 2 shirt,blue umbrella,cool,stylish,black,Cabana,dignified,retro,cabana bed; cabana bookcase; wide-screen TV; high-end stereo; giant snakehead; birdcage; cabana lamp; harp; classic clock; Mr. Flamingo;,K.K. Cruisin',cityscape wall,mosaic tile,No,2ごう,Fardilia,Ninjette,Karin,Agente S,２호,せいやっ,piñita,piñita,camarade,poto,strampl,spalla,흠냐,No,,squ05,00B3
Caroline,,Squirrel,Normal,Female,July 15,hulaaaa,gelato shirt,beach umbrella,gaudy,refined,colorful,Kiddie,dignified,trendy,basketball hoop; red sofa; claw-foot tub; kiddie stereo; beach chair; surfboard; lawn chair; candy machine; gas pump; life ring;,DJ K.K.,tropical vista,ceramic tile,Yes,キャロライン,Mariló,Isabelle,Ricarda,Carolina,캐롤라인,ユー,ulaaaa,ulaaaa,houlaaaa,houlaaaa,hulaaaa,ehilaaà,휴,No,,squ06,00B4
Sally,,Squirrel,Normal,Female,June 19,nutmeg,icy shirt,petal parasol,cute,cool,yellow,Kiddie,dignified,retro,green dresser; green counter; glass-top table; exotic screen; gold econo-chair; red boom box; lady palm; ruby econo-chair; jade econo-chair;,K.K. Fusion,blue-trim wall,kitchen tile,Yes,ララミー,Praliné,Damia,Hanne,Rossella,라라미,ったら,ramita,ramita,noisette,noisette,muskat,nocciolina,까꿍,No,,squ07,00B5
Static,,Squirrel,Cranky,Male,July 9,krzzt,melon shirt,yellow umbrella,gaudy,cute,black,Modern,dignified,trendy,modern bed; mountain bike; gold stereo; modern desk; modern sofa; mini gargloid; metal guitar; mini bowtoid; folk guitar; rock guitar;,Surfin' K.K.,plaza wall,steel flooring,Yes,スパーク,Protón,Electro,Rudolf,Protone,스파크,ピカッ,avería,avería,krzzt,krzzt,krazz,sguscio,콰광,No,,squ08,00B6
Mint,,Squirrel,Snooty,Female,May 2,ahhhhhh,gumdrop shirt,lacy parasol,cool,strange,blue,Blue,dignified,trendy,pine table; classic sofa; retro stereo; blue bureau; blue bookcase; dracaena; Baby bear; weeping fig; blue clock; blue cabinet;,K.K. Soul,blue-trim wall,birch flooring,Yes,ミント,Menta,Amande,Marika,Mentulla,민트,うっふん,aaaah,bichito,ahhhhhh,ahhhhhh,knabber,squercia,우훗,No,,squ09,00B7
Rolf,,Tiger,Cranky,Male,August 22,grrrolf,bubble shirt,blue dot parasol,refined,stylish,yellow,Exotic,dignified,retro,modern bed; gold stereo; exotic bench; mini bowtoid; black pawn; mega bowtoid; manhole cover; white pawn;,Rockin' K.K.,industrial wall,steel flooring,Yes,チョモラン,Albino,Ralf,Boris,Rolf,호랭이,だガー,grooorf,grooorf,grrrufff,grrrufff,brüll,grrrolf,근데,No,,tig00,00B8
