Name,Image,Icon,Species,Personality,Gender,Default Catchphrase,Default Top,Default Umbrella,Birthday,Fav Fashion,Least Fav Fashion,Fav Color,Coffee,Fav Saying,Move-In Type,Wallpaper,Floor,House Song,House Model,Furniture,RV Song,RV Items,RV Description,Skill,Skill ID,Goal,Goal ID,Siblings,Siblings ID,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Catchphrase (English EU),Catchphrase (Japanese),Catchphrase (Spanish NA),Catchphrase (Spanish EU),Catchphrase (French NA),Catchphrase (French EU),Catchphrase (German),Catchphrase (Italian),Catchphrase (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Internal ID,New To Series
Louie,,,Gorilla,Jock,Male,hoo hoo ha,big bro's tee,red umbrella,March 26,sporty,cute,blue,,It's all about the muscle.,Move-in,basic wall,natural wood floor,K.K. Étude,0,neutral corner;barbell;boxing mat (Blue);wooden duckboards;balance beam;massage recliner;exercise ball (Pink);drinking fountain;locker stack (White);changing room (White);wall fan;air conditioner;,K.K. Étude,basic wall;natural wood floor;balance beam;locker stack (White);changing room (White);wooden duckboards;barbell;exercise ball (Blue);massage recliner,"Who ever came up with the idea of a rolling gym? Louie, that's who. Not to worry—it smells more of body spray than sweat. Actually, that may be worse...",doing handstands,m14,rugby player,m12,eldest of 5 kids,m14,,-,マッスル,Lou,Lou,Louis,Louis,Ludwig,Lou,머슬,-,コング,gorilérico,gorilérico,tonneau,tonneau,ugh-ugh,bum bum,하압,1.4,-,00B7,gor04,No
Boyd,,,Gorilla,Cranky,Male,uh-oh,good-fortune clothes,busted umbrella,October 1,sporty,cute,blue,,There's always time to take a second look.,Move-in,blue tarp,closed road,K.K. Groove,2,forklift;pylon set;iron frame;iron frame;oil barrel (Green);metal can;bus-stop stand;manhole cover;plastic canister (Red);,K.K. Groove,blue tarp;closed road;oil barrel (Yellow);forklift;garbage bin (Blue);detour arrow;pylon set;wet-road sign (Construction site);plastic canister (White);bus-stop stand;manhole cover;metal can,"Give a gorilla a forklift, and he'll lift all the forks! Boyd may be a bit rough around the edges, but he's a good guy to know when you need to move.",baton twirling,m1B,pro wrestler,m15,second of 5 kids,m15,,-,ボイド,Bunga,Bunga,Primo,Primo,Boyd,Brando,보이드,-,おうおう,unga,unga,pelage,pelage,äffäff,bam bam,오우오우,1.4,-,00B8,gor05,No
Violet,,,Gorilla,Snooty,Female,sweetie,misty tee,picnic umbrella,September 1,historical,rock 'n' roll,pink,,Pearls are a pink gorilla's best friend.,Starter,exotic wall,round carpet,K.K. Faire,1,exotic bed (Brown - Gray);exotic chest (Brown);cabana screen (Plain);retro stereo;cabana screen (Plain);exotic end table (Brown);exotic end table (Brown);pachira;pachira;tall dingloid;exotic lamp (White and orange);wall flowerpot;,-,-,-,blowing bubbles,f19,pharmacist,f25,second of 5 kids,f1A,,-,ウズメ,Magenta,Magenta,Gaëlle,Gaëlle,Konga,Konga,줌마,-,アイヤ,canapé,canapé,gong,gong,auauauu,tump tump,에그머닛,1.0,009B,00B9,gor07,No
Al,,,Gorilla,Lazy,Male,ayyyeee,red warm-up suit,yellow umbrella,October 18,basic,official,pink,,Life is a buffet—always go back for seconds.,Starter,concrete wall,lab floor,Steep Hill,0,ball catcher (Plain brown ball);ringside table (Beige);clothesline pole (White shirt);boxing mat (Blue);weight bench;scoreboard;folding chair (Blue);trash can;office locker;sandbag;tape deck;wall fan;,-,-,-,jumping rope,m07,journalist,m0A,eldest of 7 kids,m24,,-,たもつ,Álex,Álex,Gustave,Gustave,Kokong,Gregorio,우락,-,ウヒョッ,chocolate,chocolate,ouba-oub,ouba-oub,uga-uga,bananao,부락,1.0,009C,00BA,gor08,No
Rocket,,,Gorilla,Big sister,Female,vroom,No. 4 shirt,elegant umbrella,April 14,sporty,official,pink,,Art feeds the soul. So does pizza.,Starter,skyscraper wall,charcoal tile,K.K. Adventure,3,lovely bed (Lovely pink - Lovely pink);lovely dresser (Lovely pink);partition screen;treadmill;hi-fi stereo;lat pulldown machine;four lamp (White);exercise bike;butterfly machine;No. 4 shirt;pink-zap helmet;wall-mounted speaker;,-,-,-,cramming for tests,f30,swimmer,f13,youngest of 4 kids,f14,,-,4ごう,Gloria,Gloria,Gertrude,Gertrude,Katrin,Kinga,4호,-,そりゃっ,uga-uga,uga-uga,patouche,patouche,brahaha,uhatà,끼얍,1.0,009D,00BB,gor09,Yes
Hans,,,Gorilla,Smug,Male,groovy,blue argyle tee,zebra umbrella,December 5,official,ornate,gray,,One good turn deserves another.,Starter,modern wall,kitchen tile,K.K. D&B,3,cabin table (Normal tree - Normal);exotic bench (Brown);ice-cream case;fireplace;clothesline pole (White shirt);freezer;snowboard (Red);conga drum;djimbe drum;ski rack;vintage radio;simple kettle (Red);,-,-,-,spoon bending,m2C,painter,m02,youngest of 3 kids,m0B,,-,スナイル,Hans,Hans,Loran,Loran,Hans,Grigilio,스나일,-,いえてる,cungagún,cungagún,tût tût,tût tût,kongkong,entonces,알만하다,1.0,009E,00BC,gor10,Yes
Rilla,,,Gorilla,Peppy,Female,hello,Hello Kitty outfit,ribbon umbrella,November 1,cute,basic,red,,"Where there's a will, there's a way.",RV invitation,Hello Kitty wall,Hello Kitty floor,Bubblegum K.K.,5,Hello Kitty table;Hello Kitty drawers;simple love seat (Red);Hello Kitty bed;Hello Kitty planter;Hello Kitty chair;slipper rack (Colorful);minimalist minitable (Ivory);Baby bear (Blank);Mama bear (Blank);Hello Kitty clock;corkboard (Footprint);,Bubblegum K.K.,Hello Kitty wall;Hello Kitty floor;Hello Kitty dress;Hello Kitty shoes;Hello Kitty hat;Hello Kitty outfit;Hello Kitty clock;Hello Kitty drawers;Hello Kitty planter;Hello Kitty bed;Hello Kitty table;Hello Kitty chair,"No matter where her travels take her, Rilla always packs her favorite Hello Kitty shirt. She's had it since she was a little girl. Can you tell?",baking,c05,Kitty White,c05,older twin sister,f02,,-,リラ,Rila,Rila,Rilla,Rilla,Rilla,Rilla,릴라,-,ハロー,hello,hello,rorille,rorille,kittykong,arrruuu,헬로,1.4,-,00BD,gor11,Yes
Hamlet,,,Hamster,Jock,Male,hammie,big-star tee,forest umbrella,May 30,basic,official,orange,,The ear's the thing.,Starter,playroom wall,sloppy carpet,K.K. Reggae,5,stripe bed (Blue stripe - Blue stripe);kiddie stereo (Colorful);stripe table (Blue stripe);elephant slide;mega drilloid;stripe closet (Blue stripe);cushion (Blank);bowling pins;star globe;painting set;mobile (Original);corkboard (Footprint);,-,-,-,limboing,m13,soccer player,m11,youngest of 6 kids,m23,,-,ハムスケ,Bombo,Bombo,Jojo,Jojo,Hamid,Amleto,햄스틴,-,ハム,chucufá,chucufá,chicots,chicots,twirps,puff pant,햄햄,1.0,009F,00BE,ham00,Yes
Apple,,,Hamster,Peppy,Female,cheekers,lite polka tee,candy umbrella,September 24,cute,historical,red,,One rotten apple spoils the barrel.,Starter,neutral wall,plush carpet,I Love You,1,lovely bed (Lovely pink - Lovely pink);polka-dot table (Red and white - Red and white);sweets bookcase;polka-dot sofa (Red and white - Red and white);polka-dot sofa (Red and white - Red and white);poinsettia;juicy-apple TV (Red apple);lovely armoire (Lovely pink);poinsettia;small magazine rack;cassette player (Red);juicy-apple clock (Red apple);corkboard (Footprint);,-,-,-,karaoke,f02,movie star,f2A,third of 4 sisters,f17,,-,アップル,Rosi,Rosi,Esther,Esther,Jessi,Cicci,애플,-,キュルン,do-re-mi,do-re-mi,bibille,bibille,fiep,triplo uau,큐룽,1.0,00A0,00BF,ham01,Yes
Graham,,,Hamster,Smug,Male,indeed,vegetarian tee,leaf umbrella,June 20,historical,ornate,orange,,Knowledge is power.,Starter,library wall,plank flooring,Bubblegum K.K.,1,cardboard table;large bookshelf;modern table (Monochromatic);sloppy stereo;sloppy sofa (Aqua);server;server;computer desk;computer desk;cushion (Blank);laptop (White);Bubblegum K.K.;breaker;air conditioner;,-,-,-,computing,m01,writer,m01,third quintuplet,m1B,,-,グラハム,Roelio,Roelio,Graham,Graham,Günther,Evaristo,글라햄,-,ですぞ,ñisqui,ñisqui,au pif,au pif,hähäm,paella,그렇다고,1.0,00A1,00C0,ham02,Yes
Rodney,,,Hamster,Smug,Male,le ham,red-bar tee,beach umbrella,November 10,flashy,modern,colorful,,Everything is temporary.,Starter,pastel-dot wall,music-room floor,K.K. Rockabilly,1,kiddie table (Colorful - Colorful);tennis table;simple love seat (Red);sloppy stereo;common bed (Red);candy machine;arcade machine;pinball machine;tabletop game;capsule-toy machine (Red);candy jar;,-,-,-,hitting snooze,m2E,chef,m20,eldest of 9 kids,m26,,-,ジミー,Chusquis,Chusquis,Chico,Chico,Reinhold,Rosikkio,지미,-,ヒュー,adoya,adoya,caries,caries,mjamjam,flop,휴우,1.0,00A2,00C1,ham03,Yes
Soleil,,,Hamster,Snooty,Female,tarnation,swell tee,petal parasol,August 9,modern,rock 'n' roll,orange,,Sometimes dreams are merely dreams.,Starter,tent wall,tent rug,K.K. Oasis,2,whirlpool bath (No flowers);exotic bed (Brown - Gray);exotic table (Brown);cabana screen (Plain);shower;exotic lamp (White and orange);tall dingloid;rubber tree;peacock chair;incense burner;phonograph;,-,-,-,skimming books,f28,translator,f24,fourth of 6 kids,f21,,-,シャンティ,Soraya,Soraya,Stella,Stella,Samira,Cettina,샨티,-,だってば,moflete,moflete,gnognotte,gnognotte,hümpf,vriiin,파샤샤,1.0,00A3,00C2,ham04,Yes
Clay,,,Hamster,Lazy,Male,thump,uncommon shirt,camo umbrella,October 19,historical,cute,beige,,Life is just a bowl of cherries.,Starter,garden wall,western desert,K.K. Safari,3,bonfire;hammock (Purple - Purple);watering trough;ptera skull;tribal mask;tribal mask;jomon pottery;jomon pottery;cow skull;,-,-,-,writing backward,m09,archaeologist,m23,eldest of 7 kids,m24,,-,どぐろう,Boliche,Boliche,Guido,Guido,Dietmar,Carmelo,햄둥,-,どきどき,tucu-tucu,tucu-tucu,pindépice,pindépice,backi,popomf,둥게둥게,1.0,00A4,00C3,ham05,Yes
Flurry,,,Hamster,Normal,Female,powderpuff,folk shirt,lacy parasol,January 30,iconic,sporty,beige,,"Squeak your mind, even if your voice shakes.",Starter,classic wall,neutral floor,Hypno K.K.,4,regal bed (Royal yellow);regal dresser (Royal yellow);minimalist sofa (Ivory);regal sofa (Royal yellow);princess chest;deluxe range;refrigerator;automatic washer;minimalist minitable (Ivory);caladium;record player;,-,-,-,peeling apples,f34,superhero,f27,eldest of 10 kids,f27,,-,ゆきみ,Lluvia,Lluvia,Emma,Emma,Emilie,Meringa,뽀야미,-,なのです,nomnom,nomnom,abajoujou,abajoujou,millimilli,fondue,뽀드득,1.0,00A5,00C4,ham06,Yes
Hamphrey,,,Hamster,Cranky,Male,snort,beige knit shirt,bat umbrella,February 25,historical,flashy,black,,Children should be seen and not heard.,Starter,old wallpaper,tatami,K.K. Rally,3,kotatsu (Blue blanket);retro stereo;tatami bed;exotic chest (Brown);potbelly stove;extinguisher;raccoon figurine (Brown);ponderosa bonsai;holly bonsai;hospital TV;,-,-,-,eating quickly,m24,fisherman,m24,eldest of 8 kids,m25,,-,ハムジ,Arsenio,Arsenio,Charles,Charles,Heinrich,Nerone,햄쥐,-,カーッ,andaquenó,andaquenó,balivernes,balivernes,squiep,spatapumf,카악,1.0,00A6,00C5,ham07,Yes
Rocco,,,Hippo,Cranky,Male,hippie,danger tee,leopard umbrella,August 18,iconic,official,yellow,,The only thing to fear is fear itself...and bees.,Starter,blue tarp,closed road,K.K. Lament,3,iron frame;iron frame;steamroller;ringside table (Beige);handcart;cement mixer;portable toilet;striped cone;sawhorse;tape deck;time clock;small spotlight (Yellow);,-,-,-,making puns,m2F,boxer,m14,eldest of 6 kids,m1E,,-,ゴンザレス,Roco,Roco,Bebel,Bebel,Richi,Rocco,곤잘레스,-,だぎゃー,batracio,batracio,babi,babi,pfffft,ipper,그러마,1.0,00A7,00C7,hip00,No
Bubbles,,,Hippo,Peppy,Female,hipster,grape tee,mint umbrella,September 18,sporty,flashy,orange,,It's best to keep your lips and purse sealed.,Starter,music-room wall,modern wood flooring,K.K. Stroll,5,ball catcher (Plain brown ball);basketball hoop;volleyball net;ringside table (Beige);drinking fountain;tall percoloid;scoreboard;extinguisher;folding chair (Blue);CD player;kettle;school speaker;exit sign;,-,-,-,limboing,f13,volleyball player,f11,third of 4 kids,f13,,-,チャコ,Hipólita,Hipólita,Hippy,Hippy,Christin,Ippolita,차코,-,でガンス,hippie,hippie,hip hop là,hip hop là,blupper,hiippy,히포포,1.0,00A8,00C8,hip02,No
Bertha,,,Hippo,Normal,Female,bloop,funky-dot tee,picnic umbrella,April 25,iconic,rock 'n' roll,gray,,The best part of spring is the picnics!,Starter,office wall,diner tile,Space K.K.,2,arapaima;hospital screen;minimalist table (Ivory);kitchen sink;minimalist sofa (Ivory);water cooler;pothos;dentist's chair;drinking fountain;dentist's chair;record player;yellow tulips;minimalist clock (Ivory);air conditioner;,-,-,-,drawing circles,f2B,professor,f1D,youngest of 3 sisters,f10,,-,あんこ,Berta,Berta,Bertha,Bertha,Berta,Umberta,베티,-,そうです,glub-glub,glub-glub,rololol,rololol,blubber,blup,맞습니다,1.0,00A9,00C9,hip03,No
Biff,,,Hippo,Jock,Male,squirt,jagged tee,green umbrella,March 29,flashy,basic,green,,Eighth place is just the seventh loser.,Starter,autumn wall,sandlot,The K. Funk,4,ball catcher (Plain brown ball);basketball hoop;ringside table (Beige);mountain bike (Green and yellow);phone box;boxing barricade;boxing barricade;fire hydrant;CD player;,-,-,-,limboing,m13,basketball player,m13,second of 4 kids,m0D,,-,ガブリエル,Pipo,Pipo,Biff,Biff,Norbert,Pippo,가브리엘,-,じゃけん,hipo-pipo,hipo-pipo,hips hips,hips hips,skwiirt,squirt,랑께,1.0,00AA,00CA,hip04,No
Bitty,,,Hippo,Snooty,Female,my dear,funky-dot tee,modern umbrella,October 6,cute,basic,red,,Necessity is the mother of all invention.,Move-in,mosaic wall,lobby floor,K.K. Disco,1,wooden counter (Dark brown - Blue diamonds);fancy display case (Brown);hanger rack (Ladies');fancy display stand (Beige);fancy display stand (Beige);elegant chair (Red and brown);changing room (White);cash tray (Silver);ring (Purple);jewelry case (Brown);perfume bottles;sconce;,K.K. Disco,mosaic wall;lobby floor;fancy display case (Brown);changing room (Wood and yellow);wooden counter (Dark brown - Blue diamonds);hanger rack (Ladies');fancy display stand (Beige);ring (Purple);perfume bottles;jewelry case (Brown),"Bitty is the center of the scene no matter where she goes. And with a van full of designer goods, the campground is basically her runway.",stomping around,f37,designer,f08,second of 4 kids,f12,,-,エーミー,Ofelia,Ofelia,Potama,Potama,Biggi,Rosetta,비티,-,だピー,corassón,corassón,joli cœur,joli cœur,mei o mei,bibù,쩝쩝,1.4,-,00CB,hip05,No
Harry,,,Hippo,Cranky,Male,beach bum,jungle-camo tee,forest umbrella,January 7,historical,cute,aqua,,Patience is a virtue for folks with time.,Starter,bathhouse wall,bath tile,K.K. Calypso,1,bathtub (Tile);bathtub (Tile);wash station;spa chair;bath mat (Bath);tape deck;corn plant;drip pail;bucket;shower;ventilation fan;,-,-,-,tongue twisters,m08,fisherman,m24,eldest of 5 kids,m14,,-,オリバー,Harpo,Harpo,Bob,Bob,Jürgen,Ercolino,올리버,-,でっせ,algas,algas,mille,mille,höhöhö,uhuhuh,냉큼오슈,1.0,00AB,00CC,hip08,No
Hippeux,,,Hippo,Smug,Male,natch,beige emblem blazer,yellow umbrella,October 15,ornate,flashy,aqua,,Mottoes are for the unoriginal.,Starter,arched window,tartan rug,K.K. Moody,4,rococo bed (Gothic brown);ebony piano (Black);cabana screen (Plain);rococo sofa (Gothic brown);rococo table (Gothic brown);regal lamp (Royal yellow - Royal yellow);classic table (Brown - Brown);trunk (Brown);turntable;moth orchid;metronome;,-,-,-,juggling,m1A,actor,m2C,youngest of 3 kids,m0B,,-,ディビッド,Hipóleo,Hipóleo,Paulito,Paulito,Herbert,Poppy,데이빗,-,イェス,chofchof,chofchof,tam-tam,tam-tam,hipphipp,vale,예스,1.0,00AC,00CD,hip09,Yes
Buck,,,Horse,Jock,Male,pardner,eight-ball tee,bat umbrella,April 4,sporty,cute,brown,,Keep your eyes on the prize.,Starter,pastel-dot wall,diner tile,My Place,3,mini circuit;sloppy stereo;mountain bike (Green and yellow);large magazine rack;sloppy sofa (Aqua);retro TV;retro fridge;planter;fan;cardboard box (Blank);goldfish;blue certificate;,-,-,-,vaulting,m12,basketball player,m13,only child,m01,,-,ヴァヤシコフ,Trotón,Trotón,Daniel,Daniel,Rudi,Trottolo,바야시코프,-,なんちて,zanahoria,zanahoria,taty,taty,wiehie,cowboy,농담,1.0,00AD,00CE,hrs00,No
Victoria,,,Horse,Peppy,Female,sugar cube,one-ball tee,lacy parasol,July 11,sporty,official,red,,Don't put the cart before the horse.,Starter,ornate wall,old board floor,K.K. Country,0,green table (Middle green - Orange);ranch bed (Natural - White);green dresser (Middle green - Orange);ranch tea table (Natural - Blue);ranch couch (Natural);ranch hutch (Natural);cactus;humidifier (White);tall cactus;round mini cactus;phonograph;executive toy (Red);ranch wall rack (Natural);,-,-,-,playing horseshoes,f16,marathon runner,f15,third of 4 kids,f13,,-,セントアロー,Victoria,Victoria,Victoria,Victoria,Emma,Vittoria,센트엘로,-,いくわよ,terroncito,terroncito,susucre,susucre,gimazuka,zolletta,달리자,1.0,00AE,00CF,hrs01,No
Savannah,,,Horse,Normal,Female,y'all,deep-blue tee,blue dot parasol,January 25,modern,historical,gray,,Keep your chin up!,Starter,plaza wall,modern tile,Forest Life,2,modern bed (Monochromatic - Modern plaid);modern cabinet (Monochromatic);vibraphone;modern table (Monochromatic);modern sofa (Monochromatic);caladium;rubber tree;modern wardrobe (Monochromatic);modern dresser (Monochromatic);bromeliaceae;record player;modern lamp (Monochromatic - Monochromatic plaid);poinsettia;,-,-,-,calculating tips,f21,tour guide,f20,second of 6 kids,f1F,,-,サバンナ,Sabana,Sabana,Savana,Savana,Zara,Savannah,사반나,-,ってば,azucarillo,azucarillo,wimbowé,wimbowé,wichichi,hip hip,맞아요,1.0,00AF,00D0,hrs02,No
Elmer,,,Horse,Lazy,Male,tenderfoot,periwinkle tee,gelato umbrella,October 5,basic,flashy,green,,The horse doesn't pull the cart— the oats do.,Starter,arched window,opulent rug,K.K. Waltz,4,classic bed (Brown - White);classic bookcase (Brown);classic sofa (Brown);classic buffet (Brown - Brown);sweets minitable;soft-serve lamp (Vanilla);phonograph;popcorn machine;ranch chair (Natural);bottled ship;ukulele;pendulum clock;,-,-,-,playing old maid,m2D,police officer,m19,youngest of 5 kids,m18,,-,サブレ,Jacinto,Jacinto,Martin,Martin,Emil,Oreste,샤브렌,-,だヒヒン,pezuñitas,pezuñitas,mouuuuiii,mouuuuiii,anfänger,pinopino,히히힝,1.0,00B0,00D1,hrs03,No
Roscoe,,,Horse,Cranky,Male,nay,checkered tee,bat umbrella,June 16,rock 'n' roll,cute,black,,Trouble rides a fast horse.,Starter,modern wall,chessboard rug,K.K. Dirge,2,sleek bed (Black);sleek table (Black);sleek dresser (Black);sleek sofa (Black);metal guitar (Cosmos black);amp;sleek closet (Black);sleek lamp (Black);weeping fig;cube clock;sleek stereo (Black);sleek clock (Black);,-,-,-,making crafts,m04,lawyer,m0B,third of 6 kids,m20,,-,シュバルツ,Jereza,Jereza,Rosco,Rosco,Jolly,Roscoe,슈베르트,-,ブルル,bípedo,bípedo,shérif,shérif,galoppp,nay,부르르,1.0,00B1,00D2,hrs04,No
Winnie,,,Horse,Peppy,Female,hay-OK,cow tee,candy umbrella,January 31,modern,rock 'n' roll,colorful,,"Smile, and the world smiles with you.",Starter,pastel-dot wall,kitschy tile,My Place,2,classic bed (Brown - White);classic buffet (Brown - Brown);gold stereo;kitchen sink;cream sofa;small magazine rack;retro fridge;green lamp (Middle green - Orange);pachira;dracaena;tea set;,-,-,-,tiptoeing,f11,volleyball player,f11,only child,f01,,-,マキバスター,Soonia,Soonia,Anne,Anne,Walli,Clara,카로틴,-,みゃあ,okeimakei,okeimakei,youp là,youp là,heu-ja,biadina,당근당근,1.0,00B2,00D3,hrs05,No
Ed,,,Horse,Smug,Male,greenhorn,lite polka tee,flame umbrella,September 16,flashy,historical,black,,Beauty is pain!,Starter,kitschy wall,checkered tile,K.K. Ballad,4,classic bed (Brown - White);classic vanity (Brown);classic buffet (Brown - Brown);cream sofa;high-end stereo;minimalist lamp (Ivory);rocking horse;bromeliaceae;aloe;hourglass (Green);pop-up book;mobile (Original);,-,-,-,juggling,m1A,singer,m2E,third of 4 kids,m0E,,-,キザノホマレ,Crinaldo,Crinaldo,Édouard,Édouard,Hermann,Codino,꺼벙,-,じゃない,jo-joy,jo-joy,tagada,tagada,greenhorn,pirulì,게슴츠레,1.0,00B3,00D4,hrs06,No
Cleo,,,Horse,Snooty,Female,sugar,silk bloom tee,zebra umbrella,February 9,cute,historical,white,,There's something lovable in all of us.,Move-in,office wall,panel carpet floor,K.K. Synth,2,file cabinet (L);file cabinet (L);meeting-room table (White);white office desk (White);rolling cart;modern office chair;file cabinet (M);rolling file cart;dracaena;document stack (Documents);laptop (White);office phone;,K.K. Synth,office wall;panel carpet floor;rolling file cart;file cabinet (L);rolling cart;meeting-room table (White);white office desk (White);modern office chair;laptop (Black);document stack (Documents);office phone,"Technically, Cleo doesn't take her work home with her. She takes it camping. With files and faxes at the ready, she can be productive anywhere.",juggling,f1A,dermatologist,f17,eldest of 7 kids,f24,,-,アイソトープ,Clotilde,Clotilde,Cléa,Cléa,Birgit,Susanna,아이소토프,-,あそばせ,bomboncito,bomboncito,beauté,beauté,plätzchen,dolcetto,훗훗,1.4,-,00D5,hrs07,No
Peaches,,,Horse,Normal,Female,neighbor,lite polka tee,forest umbrella,November 28,cute,sporty,pink,,Every day is a gift.,Starter,kiddie wall,playroom rug,K.K. Song,4,train set;dice stereo;kiddie couch (Colorful);kiddie dresser (Colorful);kiddie bed (Colorful - Colorful);Mama bear (Blank);rocking horse;plinkoid;merry-go-round;mobile (Original);,-,-,-,fishing,f0C,florist,f1A,third of 5 kids,f1B,,-,ドサコ,Perla,Perla,Prune,Prune,Claire,Ronzina,말자,-,だポン,niiiih,niiiih,mustang,mustang,nachbar,oh mamma,몰라요,1.0,00B4,00D6,hrs08,No
Annalise,,,Horse,Snooty,Female,nipper,tropical tee,forest umbrella,December 2,official,flashy,purple,,Let gossip go in one ear and out the other.,Starter,arched window,stone tile,K.K. Sonata,0,rococo bed (Gothic brown);upright piano;regal dresser (Royal yellow);rococo sofa (Gothic brown);rococo vanity (Gothic brown);regal chair (Royal yellow);phonograph;regal lamp (Royal yellow - Royal yellow);pachira;,-,-,-,brainteasers,f0E,chef,f21,youngest of 3 sisters,f10,,-,シルブプレ,Isadora,Isadora,Âne-lise,Âne-lise,Annerose,Lisa,실부플레,-,サヴァ,criatura,criatura,galapia,galapia,mausezahn,palio,봉쥬르,1.0,00B5,00D7,hrs09,No
Clyde,,,Horse,Lazy,Male,clip clawp,bubble-gum tee,red umbrella,May 1,flashy,rock 'n' roll,colorful,,The grass is always greener.,Starter,citrus wall,birch flooring,K.K. Dixie,3,watermelon table (Red watermelon);pineapple bed;dice stereo;kitchen sink;minimalist table (Ivory);grapefruit table;tangerine chair (Orange);candy machine;watermelon chair (Red watermelon);pear dresser;executive toy (Red);candy jar;,-,-,-,pretending to sleep,m25,superhero,m27,eldest of 9 kids,m26,,-,デースケ,Moe,Moe,Dorian,Dorian,Tommi,Lallo,마철이,-,ぴろぴろ,troteras,troteras,mouh-ouh,mouh-ouh,schauder,clop clop,다그닥,1.0,00B6,00D8,hrs10,No
Colton,,,Horse,Smug,Male,check it,blue ringmaster coat,melon umbrella,May 22,ornate,sporty,beige,,Make hay while the sun shines.,Starter,rococo wall,regal carpet,Only Me,0,regal bed (Royal yellow);regal dresser (Royal yellow);regal table (Royal yellow - Royal yellow);regal sofa (Royal yellow);regal clock (Royal yellow);turntable;violin;regal lamp (Royal yellow - Royal yellow);caladium;metronome;,-,-,-,writing about pickles,m1C,model,m0E,youngest of 2 kids,m08,,-,アンソニー,Furio,Furio,Tony,Tony,Carsten,Furio,안소니,-,ごらんよ,jia,jia,hue hue,hue hue,hamham,hiii,이거봐,1.0,00B7,00D9,hrs11,Yes
Papi,,,Horse,Lazy,Male,haaay,speedway tee,forest umbrella,January 10,basic,cute,beige,,Never say neigh.,Starter,alpine wall,neutral floor,Hypno K.K.,2,classic bed (Brown - White);modern wood shelf (Standard);minimalist sofa (Ivory);high-end stereo;modern wood table (Standard);froggy chair (Green frog);weeping fig;rocking horse;modern wood lamp (Standard);painting set;modern wood clock (Standard);,-,-,-,ventriloquism,m1E,cartoonist,m03,middle kid,m0A,,-,オカッピ,Bayo,Bayo,Bourrico,Bourrico,Friedel,Pierino,마사마,-,だっけ,quepassa,quepassa,en selle,en selle,nichja,clip clop,그런가,1.0,00B8,00DA,hrs12,Yes
Julian,,,Horse,Smug,Male,glitter,twinkle tee,blue dot parasol,March 15,ornate,rock 'n' roll,aqua,,Never trot when you can prance.,Starter,lunar horizon,blue flooring,Stale Cupcakes,5,regal bed (Royal yellow);regal bookcase (Royal yellow);retro stereo;regal sofa (Royal yellow);regal table (Royal yellow - Royal yellow);harp;regal lamp (Royal yellow - Royal yellow);regal vanity (Royal yellow);telescope;king (Natural brown);star globe;,-,-,-,speed-reading,m10,designer,m08,younger twin brother,m03,,-,ジュリー,Azulino,Azulino,Lico,Lico,Jimmy,Giuliano,유니오,-,ね、キミ,pinchito,pinchito,trottoune,trottoune,wihihihi,vamos,그대여,1.0,00B9,00DB,hrs13,Yes
Epona,,,Horse,Peppy,Female,neigh,Epona outfit,leaf umbrella,November 21,iconic,ornate,brown,,Even the wildest horse can be tamed.,RV invitation,meadow vista,backyard lawn,Wandering,3,outdoor bath;storefront;covered wagon;rice-plant bed;watering trough;Cucco ornament;Lon Lon milk;tiki torch;saddle fence;,Wandering,Hyrule wall;Zelda floor;Epona outfit;Sheik outfit;Sheik mask;Link outfit;Link hat;new hero's outfit;new hero wig;Sheik pants;Gossip Stone;Termina's moon;Lon Lon milk;Piece of Heart,Clear the streets because the legendary Epona is thundering into town from Lon Lon Ranch! Does anybody have an ocarina handy to calm her down?,galloping,c06,hero's companion,c06,only child,f01,,-,エポナ,Epona,Epona,Épona,Épona,Epona,Epona,에포나,-,ヒンヒン,lon lon,lon lon,hippépique,hippépique,lonlon,liiinnn,히힝,1.4,-,00DD,hrs15,Yes
Yuka,,,Koala,Snooty,Female,tsk tsk,lemon gingham tee,lacy parasol,July 20,modern,flashy,white,,Beauty is in the eye of the beholder.,Starter,ornate wall,common floor,Soulful K.K.,1,regal bed (Royal yellow);regal bookcase (Royal yellow);regal table (Royal yellow - Royal yellow);classic buffet (Brown - Brown);classic sofa (Brown);caladium;regal lamp (Royal yellow - Royal yellow);regal vanity (Royal yellow);turntable;tea set;hourglass (Green);daffodil;,-,-,-,staying up late,f22,journalist,f0A,third of 4 sisters,f17,,-,ユーカリ,Yuka,Yuka,Calypso,Calypso,Ute,Yuka,유카리,-,アラ,pues,pues,tss tss,tss tss,grins,tsé tsé,어맛,1.0,00BA,00DE,kal00,No
